Artistes,Cmb de fois dans le top 200,Sexe,Genre musical,
Ed Sheeran,7392,M,,
Post Malone,7152,M,,
Drake,5200,M,,
XXXTENTACION,5175,M,,
The Chainsmokers,4181,M,,
Billie Eilish,3804,F,,
Ariana Grande,3403,F,,
Imagine Dragons,3084,M,,
Khalid,3014,M,,
Ozuna,2572,M,,
Travis Scott,2567,M,,
Shawn Mendes,2427,M,,
Kendrick Lamar,2361,M,,
J Balvin,2324,M,,
Calvin Harris,2143,M,,
Queen,2074,M,,
Marshmello,1944,M,,
Camila Cabello,1856,F,,
The Weeknd,1845,M,,
Sam Smith,1788,M,,
Migos,1786,M,,
Lauv,1771,M,,
Maroon 5,1719,M,,
Juice WRLD,1688,M,,
Kygo,1672,M,,
Dua Lipa,1642,F,,
Daddy Yankee,1582,M,,
Eminem,1572,M,,
Maluma,1519,M,,
Cardi B,1517,F,,
Martin Garrix,1515,M,,
Taylor Swift,1466,F,,
Luis Fonsi,1405,M,,
Anuel AA,1394,M,,
James Arthur,1382,M,,
Lil Uzi Vert,1380,M,,
Clean Bandit,1373,M/F,,Groupe mixte
Bad Bunny,1317,M,,
Zedd,1300,M,,
Nicky Jam,1264,M,,
Bruno Mars,1228,M,,
Avicii,1201,M,,
Sebastian Yatra,1191,M,,
Bebe Rexha,1144,F,,
Jonas Blue,1137,M,,
Selena Gomez,1131,F,,
DJ Snake,1124,M,,
Piso 21,1123,M,,
ZAYN,1114,M,,
David Guetta,1111,M,,
Charlie Puth,1085,M,,
Major Lazer,1066,M,,
Bazzi,1047,M,,
Logic,1012,M,,
Lady Gaga,1011,F,,
6ix9ine,1010,M,,
21 Savage,1002,M,,
Future,1001,M,,
Halsey,999,F,,
Alan Walker,988,M,,
Kodak Black,968,M,,
Hailee Steinfeld,946,F,,
A Boogie Wit da Hoodie,912,M,,
DJ Khaled,903,M,,
Becky G,900,F,,
Justin Bieber,894,M,,
5 Seconds of Summer,884,M,,
Lil Nas X,860,M,,
Twenty One Pilots,826,M,,
Lil Baby,820,M,,
Shakira,795,F,,
French Montana,772,M,,
J. Cole,760,M,,
Danny Ocean,756,M,,
Sia,749,F,,
benny blanco,747,M,,
Jason Derulo,728,M,,
Manuel Turizo,716,M,,
Anne-Marie,712,F,,
Rita Ora,709,F,,
Rae Sremmurd,708,M,,
G-Eazy,707,M,,
BTS,707,M,,
Young Thug,687,M,,
Katy Perry,684,F,,
Paulo Londra,678,M,,
Tyga,665,M,,
Childish Gambino,657,M,,
Oasis,657,M,,
Ava Max,657,F,,
CNCO,649,M,,
Liam Payne,637,M,,
Panic! At The Disco,637,M,,
KAROL G,626,F,,
Harry Styles,617,M,,
Gucci Mane,612,M,,
Offset,612,M,,
Julia Michaels,594,F,,
Lewis Capaldi,588,M,,
Axwell /\ Ingrosso,578,M,,
Jonas Brothers,577,M,,
Niall Horan,557,M,,
Kanye West,551,M,,
Jax Jones,548,M,,
Zion & Lennox,541,M,,
OneRepublic,540,M,,
Dean Lewis,536,M,,
Reik,534,M,,
Wisin,533,M,,
Demi Lovato,523,F,,
Ellie Goulding,519,F,,
Dalex,516,M,,
Lizzo,514,F,,
Big Sean,513,M,,
Justin Timberlake,508,M,,
Anitta,502,F,,
Lil Tecca,490,M,,
Zara Larsson,488,F,,
DaBaby,488,M,,
Chris Brown,484,M,,
KYLE,477,M,,
YNW Melly,476,M,,
Rich The Kid,473,M,,
Loud Luxury,470,M,,
Sean Paul,468,M,,
Sech,466,M,,
Dynoro,464,M,,
Cheat Codes,449,M,,
Portugal. The Man,447,M,,
Robin Schulz,441,M,,
Lil Pump,436,M,,
ROSALÍA,430,F,,
Enrique Iglesias,427,M,,
John Legend,425,M,,
TOTO,424,M,,
Mau y Ricky,424,M,,
Rudimental,417,M,,
NF,417,M,,
Little Mix,414,F,,
Mustard,414,M,,
Alessia Cara,413,F,,
Lil Wayne,407,M,,
Pedro Capó,407,M,,
Mabel,403,F,,
Jason Mraz,400,M,,
Lukas Graham,399,M,,
Macklemore,397,M,,
Meek Mill,394,M,,
BlocBoy JB,392,M,,
Carlos Vives,386,M,,
Tiësto,385,M,,
Machine Gun Kelly,383,M,,
blackbear,380,M,,
Miley Cyrus,377,F,,
Famous Dex,377,M,,
Coldplay,376,M,,
P!nk,374,F,,
Nacho,372,M,,
George Ezra,372,M,,
Alec Benjamin,372,M,,
Lunay,370,M,,
Nio Garcia,366,M,,
A$AP Rocky,360,M,,
Playboi Carti,358,M,,
Rihanna,357,F,,
Justin Quiles,353,M,,
Lorde,341,F,,
Michael Bublé,340,M,,
MEDUZA,335,M,,
Metro Boomin,334,M,,
Natti Natasha,333,M,,
Fifth Harmony,321,F,,
Nicki Minaj,316,F,,
Maggie Lindemann,307,F,,
Martin Jensen,303,M,,
Sam Hunt,302,M,,
Wolfine,298,M,,
Lil Skies,298,M,,
Sheck Wes,296,M,,
Chris Jeday,294,M,,
YG,290,M,,
2 Chainz,285,M,,
Sofia Reyes,285,F,,
The Killers,281,M,,
"Tyler, The Creator",281,M,,
Adele,277,F,,
Lil Mosey,273,M,,
Starley,271,F,,
Capital Bra,271,M,,
SZA,268,F,,
Myke Towers,266,M,,
Trippie Redd,264,M,,
Rag'n'Bone Man,261,M,,
Dennis Lloyd,260,M,,
Brytiago,259,M,,
Romeo Santos,258,M,,
Linkin Park,256,M,,
Dominic Fike,255,M,,
Chance the Rapper,253,M,,
Mark Ronson,251,M,,
Lil Peep,249,M,,
Mike Posner,247,M,,
NAV,244,M,,
A$AP Ferg,243,M,,
Yandel,242,M,,
Hugh Jackman,241,M,,
BLACKPINK,239,F,,
Lil Dicky,234,M,,
Flipp Dinero,233,M,,
Alok,231,M,,
Alex Sensation,226,M,,
Jhay Cortez,225,M,,
Lana Del Rey,224,F,,
AJR,223,M,,
Louis Tomlinson,220,M,,
Ricky Martin,217,M,,
Mariah Carey,212,F,,
Joey Montana,210,M,,
Polo G,209,M,,
Steve Aoki,208,M,,
Aminé,207,M,,
Lil Xan,205,M,,
DJ Luian,205,M,,
Ali Gatie,201,M,,
Burak Yeter,199,M,,
Keala Settle,199,F,,
DRAM,198,M,,
Galantis,198,M,,
Apache 207,198,M,,
Desiigner,197,M,,
JP Cooper,194,M,,
Kina,194,M,,
Y2K,194,M,,
Cosculluela,190,M,,
Pitbull,190,M,,
Silk City,187,M,,
Don Omar,184,M,,
Dimitri Vegas & Like Mike,184,M,,
Zac Efron,184,M,,
NLE Choppa,183,M,,
Lord Huron,177,M,,
Beyoncé,176,F,,
IAmChino,175,M,,
The Vamps,174,M,,
Tones And I,173,F,,
Sam Feldt,170,M,,
Farruko,168,M,,
Jay Rock,168,M,,
Joji,162,M,,
Jess Glynne,157,F,,
Ayo & Teo,156,M,,
Cashmere Cat,154,M,,
Ski Mask The Slump God,154,M,,
Jon Bellion,153,M,,
Tom Walker,153,M,,
Why Don't We,152,M,,
Kesha,150,F,,
Miguel,149,M,,
MC Fioti,148,M,,
Stormzy,146,M,,
R3HAB,146,M,,
Camilo,145,M,,
DNCE,143,M,,
Diplo,143,M,,
Alvaro Soler,143,M,,
Alex Rose,143,M,,
Jeremy Zucker,142,M,,
Aaron Smith,139,M,,
Bing Crosby,138,M,,
Ella Mai,138,F,,
Kungs,137,M,,
Wisin & Yandel,136,M,,
Thalía,134,F,,
NOTD,134,M,,
Noah Cyrus,133,F,,
Sabrina Carpenter,131,F,,
Yo Gotti,131,M,,
Big Shaq,131,M,,
Wham!,131,M,,
Tainy,131,M,,
Abraham Mateo,130,M,,
Blueface,130,M,,
Jesse & Joy,129,M/F,,Groupe mixte
MØ,128,F,,
Quality Control,127,M,,
Sigala,126,M,,
Petit Biscuit,124,M,,
Frank Sinatra,123,M,,
Quavo,121,M,,
gnash,120,M,,
SHAED,120,F,,
Calboy,120,M,,
Snakehips,119,M,,
Blanco Brown,117,M,,
Regard,117,M,,
Ramz,116,M,,
Rauw Alejandro,115,M,,
ItaloBrothers,114,M,,
ScHoolboy Q,113,M,,
Vice,112,M,,